,Name,Type,THC_Level,Terpene,Relaxed,Happy,Euphoric,Uplifted
1150,Timewreck,Sativa,18%,Limonene,0%,56%,60%,51%
1151,Jazz,Hybrid,15%,Linalool,45%,45%,37%,66%
1152,Tangelo,Hybrid,18%,Myrcene,0%,53%,53%,61%
1153,Buddha Tahoe,Indica,17%,Myrcene,81%,59%,48%,41%
1154,Guava Jelly,Hybrid,16%,Myrcene,66%,0%,0%,33%
1155,Zen,Hybrid,16%,Myrcene,26%,47%,0%,21%
1156,CBD Mango Haze,Sativa,7%,Myrcene,57%,50%,0%,42%
1157,Grapefruit Haze,Sativa,15%,Myrcene,33%,52%,47%,45%
1158,Super Lemon OG,Hybrid,19%,Terpinolene,60%,65%,37%,41%
1159,Amnesia OG,Sativa,16%,Caryophyllene,87%,62%,62%,62%
1160,Purple Bud,Indica,16%,Terpinolene,58%,47%,41%,0%
1161,Harlequin GDP,Hybrid,7%,Myrcene,71%,43%,38%,41%
1162,Rockbud,Indica,18%,Pinene,66%,44%,66%,33%
1163,Snow Bud,Hybrid,16%,Myrcene,67%,48%,0%,45%
1164,Spec Ops,Indica,17%,Caryophyllene,80%,60%,0%,0%
1165,Cosmic Collision,Sativa,27%,Pinene,22%,0%,44%,55%
1166,A-Dub,Hybrid,23%,Myrcene,69%,67%,62%,44%
1167,Jack's Cleaner,Sativa,16%,Terpinolene,0%,54%,56%,47%
1168,Buddha's Sister,Indica,21%,Caryophyllene,70%,50%,42%,42%
1169,Durban Princess,Sativa,28%,Terpinolene,0%,100%,0%,66%
1170,Cuvee,Indica,15%,Myrcene,62%,39%,41%,33%
1171,Rug Burn OG,Hybrid,18%,Limonene,64%,60%,56%,52%
1172,Sweet Skunk,Hybrid,18%,Pinene,0%,41%,41%,41%
1173,Pillow Factory,Hybrid,21%,Limonene,0%,0%,0%,0%
1174,Snow Leopard,Indica,17%,Myrcene,62%,40%,55%,30%
1175,Blue Alien,Indica,18%,Limonene,85%,51%,63%,30%
1176,Crown OG,Indica,21%,Myrcene,72%,58%,55%,48%
1177,Cherry Vanilla Cookies,Hybrid,22%,Limonene,66%,66%,0%,33%
1178,Tree of Life,Hybrid,15%,Terpinolene,70%,90%,0%,60%
1179,Thai Lights,Hybrid,11%,Terpinolene,55%,62%,48%,58%
1180,Larry Cake,Hybrid,26%,Terpinolene,33%,50%,66%,50%
1181,Mad Dawg,Hybrid,20%,Caryophyllene,68%,72%,68%,45%
1182,Cobra Lips,Hybrid,21%,Limonene,0%,66%,66%,100%
1183,Berry Bomb,Hybrid,16%,Myrcene,76%,66%,45%,26%
1184,Banana Mango,Hybrid,18%,Terpinolene,50%,50%,50%,0%
1185,Gigabud,Indica,16%,Myrcene,82%,62%,51%,0%
1186,Katsu Bubba Kush,Indica,25%,Terpinolene,62%,41%,38%,0%
1187,Diesel Dough,Hybrid,20%,Limonene,0%,53%,0%,53%
1188,Deep Purple,Indica,16%,Myrcene,59%,42%,51%,0%
1189,Conspiracy Kush,Indica,19%,Limonene,77%,52%,42%,32%
1190,White Cheese,Hybrid,16%,Limonene,74%,62%,59%,37%
1191,Kona Gold,Sativa,17%,Myrcene,0%,62%,50%,62%
1192,Opium,Hybrid,16%,Myrcene,61%,38%,46%,30%
1193,LA Kookies,Hybrid,19%,Myrcene,50%,50%,0%,28%
1194,Super Cheese,Indica,17%,Myrcene,59%,31%,63%,36%
1195,Nirvana,Hybrid,19%,Myrcene,100%,100%,100%,0%
1196,Longbottom Leaf,Hybrid,17%,Terpinolene,55%,88%,100%,55%
1197,Raindance,Hybrid,28%,Limonene,63%,51%,30%,33%
1198,Critical Cure,Indica,10%,Myrcene,79%,39%,17%,29%
1199,Secret Recipe,Hybrid,20%,Caryophyllene,58%,55%,55%,32%
1200,Dizzy OG,Hybrid,18%,Limonene,85%,85%,0%,57%
1201,Panda OG,Hybrid,22%,Limonene,52%,48%,44%,44%
1202,Caramelo,Sativa,17%,Myrcene,55%,72%,38%,0%
1203,Sizzurp,Hybrid,21%,Myrcene,80%,40%,60%,60%
1204,Mango Dream,Sativa,21%,Myrcene,0%,44%,41%,50%
1205,Purple Jack,Hybrid,18%,Myrcene,54%,0%,61%,64%
1206,Purple Star,Indica,19%,Terpinolene,70%,0%,45%,0%
1207,Grandma’s Sugar Cookies,Indica,17%,Myrcene,78%,71%,50%,42%
1208,Skullcap,Hybrid,20%,Limonene,0%,0%,0%,0%
1209,Gunslinger,Hybrid,17%,Myrcene,28%,28%,28%,0%
1210,Ortega,Indica,20%,Myrcene,100%,42%,42%,57%
1211,Lem Chem,Hybrid,20%,Myrcene,42%,71%,71%,57%
1212,GlueChee,Hybrid,21%,Caryophyllene,0%,50%,100%,0%
1213,Sour Bubba,Indica,17%,Caryophyllene,45%,65%,55%,50%
1214,Double Tangie Banana,Hybrid,18%,Myrcene,44%,56%,38%,52%
1215,Silver Pearl,Hybrid,19%,Myrcene,0%,43%,56%,41%
1216,Sharksbreath,Hybrid,17%,Caryophyllene,38%,57%,45%,52%
1217,Enemy of the State,Indica,18%,Pinene,90%,31%,36%,0%
1218,Jamaican Pearl,Sativa,22%,Myrcene,0%,61%,69%,51%
1219,Lemon Walker OG,Hybrid,22%,Limonene,76%,72%,56%,68%
1220,CBD Kush,Hybrid,8%,Myrcene,76%,63%,0%,34%
1221,Blackberry Diesel,Sativa,14%,Caryophyllene,43%,68%,43%,43%
1222,Alien Sour Apple,Hybrid,13%,Caryophyllene,0%,35%,57%,28%
1223,Sugar Punch,Hybrid,17%,Myrcene,0%,50%,50%,56%
1224,Star Pupil,Hybrid,20%,Myrcene,72%,45%,27%,27%
1225,Lamborghini,Hybrid,18%,Myrcene,60%,50%,50%,50%
1226,Hog's Breath,Indica,17%,Caryophyllene,49%,44%,45%,38%
1227,Cherry Pie Kush,Hybrid,18%,Myrcene,40%,53%,46%,46%
1228,Alice in Wonderland,Sativa,16%,Myrcene,47%,57%,60%,47%
1229,Cadillac Purple,Indica,18%,Myrcene,80%,46%,40%,0%
1230,Critical Cheese,Hybrid,16%,Caryophyllene,45%,55%,55%,50%
1231,Grape Inferno,Indica,20%,Myrcene,81%,55%,51%,0%
1232,707 Truthband,Hybrid,18%,Limonene,66%,100%,66%,100%
1233,Thor's Hammer,Sativa,23%,Pinene,0%,47%,70%,0%
1234,Kings Banner,Hybrid,18%,Limonene,75%,75%,0%,0%
1235,Moon Cookies,Hybrid,19%,Myrcene,58%,50%,50%,0%
1236,G.O.A.T.,Hybrid,21%,Terpinolene,100%,40%,0%,20%
1237,Toxic,Hybrid,25%,Limonene,83%,66%,33%,0%
1238,LVPK,Hybrid,17%,Terpinolene,68%,73%,57%,47%
1239,Kraken,Indica,18%,Myrcene,77%,45%,50%,0%
1240,Redwood Kush,Indica,19%,Myrcene,59%,52%,49%,40%
1241,LA Affie,Indica,18%,Myrcene,75%,43%,50%,37%
1242,Orangutang,Hybrid,22%,Myrcene,71%,28%,0%,42%
1243,Sunburn,Sativa,19%,Caryophyllene,0%,58%,0%,60%
1244,OG Trainwreck,Hybrid,18%,Myrcene,0%,60%,60%,48%
1245,Buddha OG Kush,Hybrid,17%,Myrcene,100%,50%,0%,50%
1246,Cookies Haze,Sativa,28%,Myrcene,0%,100%,100%,0%
1247,Sour Cherry Sherbert,Hybrid,20%,Caryophyllene,38%,66%,50%,55%
1248,East Coast Sour Diesel,Sativa,17%,Limonene,0%,29%,0%,35%
1249,Alien Breath,Hybrid,18%,Limonene,75%,75%,0%,25%
1250,Secret Weapon,Hybrid,21%,Caryophyllene,0%,33%,0%,33%
1251,‘88 G13 Hashplant,Hybrid,19%,Myrcene,100%,0%,0%,50%
1252,Skunk Ape,Indica,17%,Caryophyllene,85%,50%,50%,28%
1253,Monkey Paw,Hybrid,15%,Myrcene,66%,66%,46%,53%
1254,Dr. Funk,Indica,16%,Myrcene,52%,42%,42%,38%
1255,White Castle,Hybrid,20%,Terpinolene,55%,22%,0%,33%
1256,Double Diesel,Sativa,22%,Caryophyllene,36%,50%,0%,40%
1257,MILF,Hybrid,25%,Pinene,54%,72%,45%,54%
1258,Northern Wreck,Indica,23%,Caryophyllene,85%,62%,64%,44%
1259,Lime Haze,Sativa,19%,Terpinolene,0%,57%,53%,50%
1260,Alien Walker,Hybrid,18%,Myrcene,67%,60%,50%,44%
1261,Ingrid,Indica,24%,Caryophyllene,72%,45%,50%,0%
1262,Bay Dream,Sativa,19%,Myrcene,47%,55%,52%,43%
1263,Killer Grape,Hybrid,17%,Myrcene,57%,78%,71%,35%
1264,Sweet Diesel,Sativa,18%,Linalool,36%,52%,0%,36%
1265,Corleone Kush,Indica,19%,Limonene,69%,38%,49%,29%
1266,Petro Chem,Hybrid,17%,Terpinolene,50%,50%,50%,0%
1267,VVS Chem,Hybrid,26%,Myrcene,0%,0%,0%,0%
1268,Ebola #7,Hybrid,30%,Limonene,57%,0%,0%,57%
1269,Super Blue Dream,Hybrid,18%,Myrcene,46%,56%,50%,48%
1270,Woody OG,Indica,21%,Myrcene,62%,39%,35%,0%
1271,Lucy,Hybrid,9%,Caryophyllene,77%,33%,0%,33%
1272,Cherry Sherbet,Hybrid,13%,Myrcene,39%,34%,26%,21%
1273,Buddha's Hand,Hybrid,20%,Myrcene,0%,0%,50%,37%
1274,Lemon OZ,Hybrid,23%,Limonene,100%,100%,100%,100%
1275,Supernova,Hybrid,17%,Pinene,63%,58%,52%,38%
1276,Red Eye OG,Indica,19%,Myrcene,76%,48%,36%,0%
1277,9D4,Hybrid,22%,Caryophyllene,33%,33%,0%,33%
1278,Shangri-La,Hybrid,17%,Caryophyllene,65%,55%,57%,71%
1279,Platinum Valley,Sativa,18%,Myrcene,0%,0%,0%,0%
1280,Martian Mean Green,Hybrid,24%,Terpinolene,32%,54%,54%,54%
1281,Brian Berry Cough,Hybrid,17%,Myrcene,60%,62%,54%,48%
1282,Sorbetto,Hybrid,20%,Myrcene,57%,28%,28%,28%
1283,False Teeth,Hybrid,21%,Myrcene,77%,55%,55%,50%
1284,Alpha OG,Hybrid,22%,Limonene,92%,65%,65%,38%
1285,Heavy Duty Fruity,Hybrid,17%,Myrcene,40%,42%,42%,42%
1286,CBD OG,Hybrid,10%,Myrcene,62%,62%,0%,25%
1287,Boss Hogg,Hybrid,17%,Myrcene,69%,52%,57%,42%
1288,BOG Bubble,Hybrid,14%,Caryophyllene,75%,50%,0%,50%
1289,Rocky Mountain High,Hybrid,12%,Pinene,53%,38%,53%,38%
1290,Strawberry Snow Cone,Hybrid,13%,Pinene,0%,85%,85%,71%
1291,Giesel,Hybrid,18%,Myrcene,0%,0%,0%,0%
1292,3 In The Pink,Hybrid,15%,Myrcene,0%,0%,0%,0%
1293,Medicine Man,Hybrid,17%,Ocimene,52%,36%,43%,0%
1294,Trunk Funk,Indica,28%,Myrcene,0%,0%,0%,0%
1295,Sapphire Star,Hybrid,23%,Limonene,0%,64%,42%,57%
1296,White Kush,Indica,22%,Limonene,68%,45%,46%,0%
1297,Alpine OG,Indica,17%,Myrcene,57%,42%,50%,64%
1298,Violet Delight,Hybrid,20%,Myrcene,66%,59%,43%,45%
1299,Harambe,Hybrid,15%,Limonene,83%,0%,50%,50%
1300,Lemon Bubble,Sativa,16%,Myrcene,0%,63%,51%,48%
1301,Purple Animal Cookies,Hybrid,18%,Caryophyllene,76%,46%,53%,38%
1302,Dank Dough,Hybrid,20%,Limonene,25%,25%,0%,25%
1303,Mr. Tusk,Hybrid,17%,Myrcene,57%,71%,71%,0%
1304,Black Roses,Indica,18%,Terpinolene,88%,66%,0%,55%
1305,Cinderella's Dream,Hybrid,18%,Myrcene,46%,51%,51%,57%
1306,CBD Blue Shark,Hybrid,15%,Myrcene,92%,64%,0%,48%
1307,CBD Charlotte’s Angel,Hybrid,15%,Terpinolene,0%,100%,0%,0%
1308,UW Purple,Indica,17%,Pinene,80%,51%,40%,24%
1309,Hashberry,Indica,11%,Myrcene,59%,46%,46%,0%
1310,Green Candy,Sativa,17%,Myrcene,45%,63%,50%,49%
1311,Bubba Berry,Indica,15%,Caryophyllene,75%,33%,41%,0%
1312,Moose Tracks,Hybrid,22%,Terpinolene,100%,66%,0%,33%
1313,Cherry Fuel,Hybrid,22%,Terpinolene,100%,100%,0%,0%
1314,Dutchberry,Hybrid,20%,Myrcene,45%,67%,40%,42%
1315,Triple Diesel,Sativa,29%,Myrcene,52%,37%,47%,41%
1316,Black Fire,Hybrid,18%,Limonene,50%,50%,0%,50%
1317,Blue Fire,Hybrid,16%,Myrcene,50%,0%,0%,50%
1318,Oregon Lemons,Hybrid,19%,Myrcene,75%,0%,50%,50%
1319,Mangolicious,Indica,23%,Terpinolene,37%,0%,25%,25%
1320,Sapphire Scout,Hybrid,22%,Limonene,77%,88%,77%,44%
1321,Early Girl,Indica,19%,Pinene,49%,38%,42%,0%
1322,Sequoia Strawberry,Sativa,21%,Myrcene,35%,41%,41%,76%
1323,Banana Diesel,Hybrid,21%,Caryophyllene,41%,48%,0%,46%
1324,Black Raspberry,Hybrid,23%,Pinene,46%,38%,0%,38%
1325,Citral Flo,Hybrid,19%,Caryophyllene,0%,100%,100%,50%
1326,Bubble Bomb,Hybrid,19%,Myrcene,60%,60%,0%,60%
1327,Satellite OG,Indica,20%,Myrcene,75%,65%,55%,48%
1328,Charlie Sheen,Hybrid,17%,Limonene,63%,58%,50%,45%
1329,Blue Ox,Indica,21%,Limonene,71%,28%,0%,14%
1330,Spritzer,Hybrid,19%,Terpinolene,66%,66%,0%,66%
1331,Special K,Hybrid,21%,Myrcene,40%,73%,53%,53%
1332,Ed Rosenthal Super Bud,Hybrid,20%,Caryophyllene,44%,39%,55%,51%
1333,Skunk Dawg,Sativa,21%,Caryophyllene,59%,63%,50%,54%
1334,Professor Chaos,Hybrid,19%,Myrcene,0%,65%,0%,47%
1335,The White Angel,Hybrid,27%,Limonene,50%,0%,33%,0%
1336,The Truth,Hybrid,18%,Myrcene,66%,55%,49%,44%
1337,Super Sour Lemon,Hybrid,17%,Limonene,0%,60%,0%,20%
1338,Mountain Thunder,Sativa,17%,Caryophyllene,0%,50%,0%,0%
1339,Hawaiian Skunk,Hybrid,17%,Myrcene,43%,60%,56%,46%
1340,Eran Almog,Indica,21%,Myrcene,82%,50%,50%,32%
1341,Lilac Cookies,Hybrid,18%,Terpinolene,60%,20%,0%,20%
1342,Lemon Kush Headband,Hybrid,20%,Limonene,83%,83%,66%,50%
1343,Armageddon,Hybrid,14%,Myrcene,53%,50%,50%,28%
1344,Purple Buddha,Indica,20%,Myrcene,60%,51%,63%,36%
1345,Jane Doe,Hybrid,20%,Limonene,57%,85%,71%,0%
1346,Cali Dragon,Hybrid,20%,Myrcene,87%,75%,75%,37%
1347,OG Sour Diesel,Hybrid,18%,Caryophyllene,66%,66%,0%,33%
1348,Monkey Bread #1,Indica,22%,Caryophyllene,100%,0%,66%,0%
1349,Star Cookie,Hybrid,23%,Caryophyllene,80%,0%,100%,40%
1350,Albert Walker,Hybrid,18%,Myrcene,73%,65%,57%,0%
1351,Cindy White,Hybrid,19%,Limonene,42%,52%,50%,55%
1352,Ancient OG,Indica,19%,Limonene,78%,45%,67%,0%
1353,91 Krypt,Indica,16%,Limonene,92%,53%,53%,0%
1354,Hawaiian Purple Kush,Indica,15%,Myrcene,74%,62%,0%,25%
1355,Animal Gas,Hybrid,21%,Limonene,50%,50%,75%,50%
1356,Buckeye Purple,Indica,16%,Myrcene,84%,36%,36%,0%
1357,Very Berry Haze,Sativa,21%,Myrcene,38%,64%,0%,53%
1358,Cluster Funk,Hybrid,25%,Terpinolene,100%,40%,60%,0%
1359,The One,Hybrid,19%,Caryophyllene,70%,75%,66%,54%
1360,Earth OG,Hybrid,18%,Caryophyllene,51%,53%,41%,41%
1361,Scout's Honor,Hybrid,23%,Caryophyllene,81%,62%,50%,0%
1362,Blueberry Jack,Hybrid,17%,Terpinolene,61%,56%,43%,40%
1363,Donegal,Hybrid,27%,Myrcene,0%,48%,55%,39%
1364,Tahoe Hydro OG,Hybrid,20%,Limonene,62%,50%,37%,37%
1365,Juggernaut,Hybrid,20%,Limonene,100%,0%,0%,0%
1366,Kali 47,Sativa,22%,Myrcene,0%,60%,0%,60%
1367,White Girl,Hybrid,28%,Myrcene,0%,80%,80%,40%
1368,Shiatsu Kush,Hybrid,17%,Myrcene,80%,40%,40%,32%
1369,Hawaiian Cookies,Hybrid,19%,Terpinolene,65%,60%,52%,34%
1370,Black Haze,Hybrid,15%,Limonene,54%,48%,45%,41%
1371,Velvet Glove,Hybrid,27%,Linalool,66%,66%,66%,33%
1372,Moon Drops,Hybrid,21%,Myrcene,66%,66%,66%,0%
1373,Qrazy Train,Hybrid,16%,Caryophyllene,62%,58%,52%,52%
1374,Training Day,Indica,14%,Terpinolene,73%,54%,47%,0%
1375,66 Cookies,Hybrid,19%,Caryophyllene,16%,16%,0%,16%
1376,Green Haze,Sativa,17%,Myrcene,0%,54%,45%,50%
1377,Green Goddess,Hybrid,19%,Myrcene,63%,65%,56%,56%
1378,White Ice,Hybrid,20%,Myrcene,66%,0%,66%,33%
1379,Warlock,Hybrid,15%,Myrcene,62%,53%,48%,43%
1380,White Lotus,Hybrid,20%,Myrcene,73%,43%,56%,0%
1381,Acid,Hybrid,16%,Myrcene,0%,60%,65%,26%
1382,Blackberry Trainwreck,Hybrid,16%,Myrcene,52%,32%,40%,0%
1383,Dream Berry,Indica,12%,Myrcene,74%,37%,0%,37%
1384,Purple Martian,Indica,15%,Myrcene,100%,66%,83%,33%
1385,OCD,Sativa,19%,Myrcene,0%,0%,43%,37%
1386,Jesus,Hybrid,19%,Caryophyllene,51%,59%,37%,43%
1387,Dark Side of the Moon,Indica,19%,Limonene,91%,50%,69%,33%
1388,Himalayan Blackberry,Indica,21%,Myrcene,73%,52%,52%,42%
1389,Hollywood OG,Hybrid,17%,Myrcene,48%,35%,32%,35%
1390,Island Girl,Sativa,14%,Myrcene,100%,0%,100%,0%
1391,Shaman,Sativa,8%,Myrcene,0%,54%,48%,74%
1392,Foul Mouth,Indica,16%,Myrcene,100%,0%,60%,60%
1393,3D,Hybrid,14%,Myrcene,55%,62%,51%,59%
1394,Sour OG Cheese,Hybrid,18%,Limonene,0%,66%,66%,33%
1395,R-4,Hybrid,29%,Caryophyllene,50%,50%,0%,75%
1396,Firewalker OG,Sativa,21%,Myrcene,60%,50%,46%,50%
1397,Light of Jah,Sativa,17%,Myrcene,42%,60%,62%,54%
1398,NYPD,Sativa,16%,Myrcene,45%,43%,40%,45%
1399,Jack Skellington,Sativa,16%,Myrcene,0%,58%,58%,48%
1400,Faygo Red Pop,Indica,20%,Myrcene,85%,85%,42%,57%
1401,Apricot Jelly,Hybrid,20%,Caryophyllene,100%,50%,0%,50%
1402,Caramel Kona Coffee Kush,Indica,21%,Limonene,85%,57%,0%,42%
1403,Holland's Hope,Indica,17%,Terpinolene,55%,51%,50%,35%
1404,Blue Champagne,Hybrid,14%,Caryophyllene,0%,61%,55%,57%
1405,Venus OG,Hybrid,17%,Myrcene,66%,77%,77%,66%
1406,Designer OG,Hybrid,22%,Limonene,100%,50%,0%,50%
1407,Comfortably Dumb,Hybrid,8%,Myrcene,66%,0%,66%,33%
1408,In The Pines,Sativa,10%,Myrcene,42%,60%,0%,60%
1409,Black Betty,Hybrid,18%,Myrcene,50%,60%,75%,66%
1410,Grape Skunk,Indica,13%,Myrcene,59%,68%,50%,50%
1411,Gelato Dream,Hybrid,20%,Limonene,0%,0%,0%,0%
1412,The Cough,Sativa,22%,Myrcene,0%,43%,56%,62%
1413,Russian Assassin,Indica,20%,Limonene,64%,35%,71%,35%
1414,Pineberry,Hybrid,17%,Myrcene,100%,0%,42%,42%
1415,Black Dahlia,Hybrid,22%,Myrcene,56%,41%,34%,29%
1416,Gorilla Grips,Indica,22%,Pinene,100%,75%,0%,50%
1417,Big Kush,Hybrid,22%,Myrcene,50%,33%,41%,58%
1418,Raspberry Diesel,Hybrid,20%,Limonene,66%,100%,0%,66%
1419,Saturn OG,Hybrid,19%,Myrcene,67%,61%,55%,50%
1420,Grape Stomper OG,Hybrid,18%,Myrcene,50%,25%,50%,25%
1421,Pure OG,Indica,19%,Caryophyllene,54%,43%,36%,0%
1422,UltraViolet OG,Indica,16%,Myrcene,70%,44%,37%,40%
1423,Lemon Trainwreck,Hybrid,19%,Myrcene,45%,47%,54%,41%
1424,Cherry Lime Haze,Hybrid,18%,Myrcene,0%,0%,0%,0%
1425,Citral Skunk,Hybrid,19%,Limonene,33%,33%,50%,66%
1426,Limon,Sativa,26%,Myrcene,44%,50%,77%,44%
1427,Cracker Jack,Sativa,20%,Terpinolene,0%,59%,53%,51%
1428,Purple AK-47,Hybrid,14%,Myrcene,67%,37%,53%,0%
1429,Confidential Cheese,Indica,20%,Caryophyllene,57%,57%,43%,40%
1430,Cherry Durban Poison,Hybrid,20%,Caryophyllene,0%,42%,57%,57%
1431,Locomotion,Indica,18%,Limonene,74%,44%,54%,36%
1432,Strawberry Daiquiri,Hybrid,17%,Terpinolene,0%,0%,0%,0%
1433,Appleberry,Indica,24%,Myrcene,63%,27%,18%,0%
1434,Black Label Kush,Indica,21%,Myrcene,36%,47%,52%,0%
1435,Chuck OG,Hybrid,18%,Limonene,66%,0%,66%,66%
1436,Hong Kong,Hybrid,24%,Myrcene,47%,43%,43%,70%
1437,Pandora's Box,Sativa,18%,Myrcene,36%,43%,44%,50%
1438,Devil's Tit,Sativa,18%,Caryophyllene,0%,37%,37%,0%
1439,Cherry Death Star,Hybrid,18%,Ocimene,50%,50%,0%,0%
1440,White Strawberry Skunk,Hybrid,18%,Myrcene,57%,85%,0%,57%
1441,El Fuego,Hybrid,19%,Myrcene,0%,100%,0%,0%
1442,Silver Back,Hybrid,20%,Caryophyllene,30%,30%,60%,40%
1443,Azure Haze,Hybrid,17%,Limonene,50%,50%,41%,50%
1444,Green Crack CBD,Hybrid,9%,Myrcene,50%,0%,50%,0%
1445,Fruity Chronic Juice,Indica,16%,Pinene,61%,54%,48%,41%
1446,Orange Mints,Hybrid,19%,Myrcene,50%,0%,0%,0%
1447,Ketama,Indica,19%,Myrcene,40%,40%,0%,0%
1448,Cherry Cheesecake,Indica,12%,Terpinolene,100%,0%,0%,100%
1449,Grape Candy,Hybrid,10%,Terpinolene,100%,66%,66%,100%
1450,The Sister,Indica,33%,Limonene,80%,40%,0%,60%
1451,Grimace,Indica,17%,Myrcene,71%,33%,42%,0%
1452,Bad Azz Kush,Hybrid,16%,Caryophyllene,100%,50%,0%,50%
1453,Day Tripper,Hybrid,17%,Limonene,70%,29%,47%,52%
1454,Afghan Haze,Hybrid,16%,Myrcene,51%,48%,41%,43%
1455,Crater Lake,Hybrid,20%,Myrcene,53%,64%,53%,64%
1456,Emperor Cookie Dough,Hybrid,20%,Caryophyllene,88%,64%,70%,76%
1457,Golden Tangie,Sativa,16%,Terpinolene,66%,50%,100%,66%
1458,Con Leche,Hybrid,20%,Myrcene,50%,50%,0%,50%
1459,Kali China,Indica,12%,Pinene,66%,66%,0%,66%
1460,White Strawberry,Hybrid,21%,Myrcene,0%,25%,25%,25%
1461,Blueberry Lambsbread,Hybrid,9%,Myrcene,46%,30%,53%,46%
1462,Northern Skunk,Hybrid,15%,Pinene,59%,72%,56%,45%
1463,Elvis,Hybrid,22%,Myrcene,52%,52%,52%,66%
1464,Super Bud,Indica,16%,Myrcene,64%,50%,0%,0%
1465,Hindu Skunk,Indica,18%,Myrcene,49%,48%,62%,39%
1466,Crockett’s Dog,Hybrid,20%,Myrcene,0%,50%,50%,0%
1467,Gilz Nilz,Hybrid,17%,Terpinolene,0%,35%,20%,25%
1468,Yummy,Hybrid,19%,Pinene,66%,33%,20%,0%
1469,Ape Shit,Hybrid,19%,Limonene,50%,100%,50%,100%
1470,Space Face,Indica,13%,Myrcene,50%,50%,50%,0%
1471,ICED Grapefruit,Hybrid,17%,Myrcene,62%,71%,53%,46%
1472,Trident,Hybrid,8%,Limonene,58%,66%,0%,45%
1473,KO Kush,Hybrid,22%,Caryophyllene,0%,0%,0%,0%
1474,Suzy Q,Hybrid,11%,Pinene,50%,0%,0%,38%
1475,Eddy Lepp,Indica,21%,Myrcene,0%,66%,0%,33%
1476,Sky Master,Sativa,22%,Limonene,38%,46%,0%,38%
1477,Pele's Fire OG,Hybrid,25%,Myrcene,60%,0%,0%,40%
1478,Karma OG,Hybrid,20%,Limonene,100%,80%,80%,40%
1479,Sin Valley OG,Hybrid,21%,Myrcene,75%,58%,52%,0%
1480,Jack Diesel,Sativa,15%,Myrcene,35%,56%,45%,45%
1481,IG Kush,Hybrid,19%,Caryophyllene,100%,100%,0%,0%
1482,Ken's Kush,Hybrid,18%,Limonene,95%,70%,62%,0%
1483,Sweet Black Angel,Indica,15%,Myrcene,69%,47%,58%,27%
1484,Kush Hemp,Hybrid,14%,Terpinolene,66%,66%,0%,33%
1485,Venice OG,Sativa,16%,Myrcene,0%,60%,0%,46%
1486,Cypress OG,Hybrid,20%,Caryophyllene,100%,60%,40%,0%
1487,Cheese Candy,Hybrid,18%,Myrcene,80%,47%,37%,42%
1488,Meltdown,Hybrid,18%,Limonene,66%,44%,33%,44%
1489,Crockett’s Haze,Hybrid,20%,Myrcene,50%,66%,0%,66%
1490,Purple Mr. Nice Guy,Indica,14%,Myrcene,47%,44%,44%,29%
1491,Caramelicious,Hybrid,19%,Myrcene,49%,67%,54%,41%
1492,Jah Kush,Hybrid,20%,Myrcene,48%,71%,61%,65%
1493,Misty Kush,Indica,18%,Myrcene,44%,77%,55%,33%
1494,Blackberry Cobbler,Hybrid,22%,Myrcene,0%,0%,0%,0%
1495,Pitbull,Indica,16%,Myrcene,50%,40%,38%,0%
1496,Banana Glue,Hybrid,18%,Myrcene,0%,0%,0%,0%
1497,God's Treat,Indica,13%,Myrcene,75%,75%,62%,62%
1498,Krishna Kush,Indica,19%,Myrcene,88%,55%,44%,0%
1499,A-Train,Hybrid,18%,Myrcene,33%,57%,45%,38%
1500,Powernap,Hybrid,21%,Myrcene,75%,100%,0%,50%
1501,Shipwreck,Sativa,19%,Terpinolene,43%,68%,53%,42%
1502,Royal Purple Kush,Indica,18%,Myrcene,100%,0%,0%,0%
1503,Ghost OG Moonshine,Indica,22%,Limonene,64%,71%,0%,57%
1504,Tesla Tower,Sativa,20%,Terpinolene,50%,66%,0%,83%
